Lp.,x1(0),x2(0),x1*,x2*,y*,f_calls,g_calls,,x1*,x2*,y*,f_calls,g_calls,,x1*,x2*,y*,f_calls,g_calls,H_calls
67,1.05071,-0.398689,0.000230782,-0.000557155,2.88361e-07,101,101,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
68,0.572001,-1.7757,0.000230485,-0.000556439,2.8762e-07,100,100,,4.29842e-05,-0.000476819,2.10556e-07,24,24,,4.29842e-05,-0.000476819,2.10556e-07,24,24,0
69,-0.847716,-1.4438,0.000240816,-0.000581383,3.13985e-07,89,89,,0.000106915,-0.000515516,2.33502e-07,25,25,,0.000106915,-0.000515516,2.33502e-07,25,25,0
70,-1.94437,0.320554,-1.7475,0.873281,0.298639,71,71,,-1.74753,0.873406,0.298639,23,23,,-1.74753,0.873406,0.298639,23,23,0
71,0.613291,-1.7453,0.000234776,-0.000566798,2.98429e-07,100,100,,-0.000250236,0.000148611,1.10133e-07,24,24,,-0.000250236,0.000148611,1.10133e-07,24,24,0
72,-0.079871,-0.257132,0.000224636,-0.000542328,2.73216e-07,72,72,,3.41593e-05,-0.000316989,9.19879e-08,22,22,,3.41593e-05,-0.000316989,9.19879e-08,22,22,0
73,-1.06319,1.92375,-1.7476,0.874296,0.298639,74,74,,-1.74761,0.874145,0.298639,22,22,,-1.74761,0.874145,0.298639,22,22,0
74,-0.653191,1.15091,-0.000226956,0.00054792,2.7888e-07,96,96,,-0.000222973,0.000444326,1.97787e-07,26,26,,-0.000222973,0.000444326,1.97787e-07,26,26,0
75,0.639577,-0.451125,0.000238385,-0.000575511,3.07675e-07,87,87,,6.21481e-05,0.000221662,7.06345e-08,24,24,,6.21481e-05,0.000221662,7.06345e-08,24,24,0
76,0.0387114,0.538809,-0.000229813,0.000554818,2.85946e-07,82,82,,-0.000248403,0.000562242,2.99861e-07,23,23,,-0.000248403,0.000562242,2.99861e-07,23,23,0
77,-1.83446,-0.739323,-1.7475,0.873277,0.298639,82,82,,-1.74752,0.873411,0.298639,25,25,,-1.74752,0.873411,0.298639,25,25,0
78,0.673979,1.72617,-0.000229461,0.000553968,2.85071e-07,94,94,,-0.000237849,0.000530512,2.68405e-07,26,26,,-0.000237849,0.000530512,2.68405e-07,26,26,0
79,-0.0104134,0.116566,-0.000234754,0.000566759,2.98386e-07,64,64,,-0.000101362,0.00047987,2.02183e-07,19,19,,-0.000101362,0.00047987,2.02183e-07,19,19,0
80,-0.250523,-0.684149,0.000233934,-0.000564768,2.96295e-07,83,83,,0.000135263,-0.000442121,1.72261e-07,24,24,,0.000135263,-0.000442121,1.72261e-07,24,24,0
81,1.34462,-1.95571,1.7476,-0.874273,0.298639,77,77,,1.7476,-0.874171,0.298639,23,23,,1.7476,-0.874171,0.298639,23,23,0
82,0.253833,0.840676,-0.000231768,0.000559539,2.90833e-07,86,86,,-0.000186354,0.000551332,2.7068e-07,24,24,,-0.000186354,0.000551332,2.7068e-07,24,24,0
83,1.70287,0.849176,1.7475,-0.873286,0.298639,83,83,,1.74752,-0.873384,0.298639,25,25,,1.74752,-0.873384,0.298639,25,25,0
84,-0.155044,-1.56469,0.000227661,-0.000549621,2.80615e-07,95,95,,0.000271924,-0.000342723,1.7215e-07,27,27,,0.000271924,-0.000342723,1.7215e-07,27,27,0
85,1.35228,-0.98119,1.7476,-0.874295,0.298639,35,35,,1.74751,-0.873351,0.298639,17,17,,1.74751,-0.873351,0.298639,17,17,0
86,0.380443,-1.02751,0.000236929,-0.000571997,3.03928e-07,92,92,,0.00018682,-0.000477481,2.08588e-07,26,26,,0.00018682,-0.000477481,2.08588e-07,26,26,0
87,-0.462848,0.613961,-0.000227402,0.000548996,2.79978e-07,88,88,,-7.83489e-05,0.00045647,1.84878e-07,25,25,,-7.83489e-05,0.00045647,1.84878e-07,25,25,0
88,-0.42463,1.61302,-0.000224723,0.000542528,2.73419e-07,98,98,,-0.000257419,0.000335965,1.58918e-07,27,27,,-0.000257419,0.000335965,1.58918e-07,27,27,0
89,1.3639,1.95748,-0.000223836,0.000540556,2.7141e-07,76,76,,0.00011634,0.000244169,1.15095e-07,42,42,,0.00011634,0.000244169,1.15095e-07,42,42,0
