Lp.,x1,x2,x1*,x2*,y*,f_calls,,x1*,x2*,y*,f_calls
30,-0.352944,0.0894921,2.44813e-05,1.94676e-05,3.11522e-08,241,,-7.76012e-05,-1.57901e-05,1.99693e-07,133
31,-0.898822,0.334362,-0.77472,0.774694,1.23967,257,,-0.774786,0.77477,1.23967,123
32,0.437409,-0.495475,0.774733,5.22132e-05,0.619837,209,,0.774736,-5.9898e-07,0.619837,165
33,0.257345,-0.507904,0.774669,-7.22188e-05,0.619837,241,,0.774669,-1.85583e-06,0.619837,127
34,0.742198,0.819462,0.774718,0.774638,1.23967,209,,0.774638,0.774762,1.23967,77
35,-0.650669,0.553847,-0.774771,0.774629,1.23967,241,,-0.774636,0.774752,1.23967,141
36,0.177331,-0.644465,-3.26925e-05,-0.774718,0.619837,225,,-2.25654e-05,-0.774861,0.619838,147
37,0.8618,-0.506642,0.774788,-4.03012e-05,0.619837,273,,0.774634,1.88918e-05,0.619837,153
38,-0.140499,-0.48595,-4.98248e-05,8.52242e-05,3.10327e-07,241,,-3.47451e-05,5.61682e-05,1.389e-07,105
39,0.29698,-0.673508,0.774753,-0.774758,1.23967,241,,0.774724,-0.774743,1.23967,165
40,0.434531,0.347733,0.774667,0.774706,1.23967,225,,0.774671,0.774688,1.23967,107
41,0.486724,-0.0731177,0.774654,7.28537e-06,0.619837,193,,0.774682,-8.23047e-05,0.619837,101
42,-0.133485,-0.477139,-6.7108e-05,-6.83329e-05,2.92087e-07,273,,-4.94411e-05,3.05661e-05,1.07587e-07,101
43,0.289408,0.612812,0.77474,0.774707,1.23967,273,,0.774733,0.774614,1.23967,147
44,0.227683,0.0649399,4.64895e-05,7.66011e-05,2.55664e-07,225,,-2.09677e-05,5.53885e-06,1.49763e-08,147
45,0.634691,0.280751,0.774788,0.774696,1.23967,241,,0.774669,0.774683,1.23967,137
46,0.282608,0.0882139,0.774796,-2.83258e-05,0.619837,241,,0.774699,-6.54062e-05,0.619837,171
47,0.267558,-0.399654,0.774687,7.22743e-05,0.619837,257,,0.774659,2.41881e-05,0.619837,91
48,0.891007,-0.777573,0.77464,-0.77476,1.23967,241,,0.774698,-0.774714,1.23967,101
49,-0.0912611,0.175721,-3.06339e-05,-5.99983e-05,1.44509e-07,177,,2.45102e-05,-0.000130666,5.62795e-07,87
50,0.494474,-0.153331,0.77467,-5.00729e-05,0.619837,273,,0.774672,6.85152e-05,0.619837,127
51,0.124242,-0.0391509,-3.52068e-05,4.82983e-05,1.13749e-07,225,,-3.35835e-05,-7.75134e-05,2.27234e-07,95
52,0.524458,-0.484112,0.774771,-1.01427e-05,0.619837,241,,0.774717,8.01829e-05,0.619837,139
53,0.0563785,-0.0343094,-4.72563e-05,-3.20358e-05,1.03789e-07,193,,-7.80433e-05,7.15623e-05,3.57016e-07,83
54,0.7833,0.0710456,0.774686,2.99816e-05,0.619837,225,,0.774883,-3.22203e-05,0.619838,129
55,0.229203,0.494973,-1.58766e-05,0.774641,0.619837,241,,5.96927e-06,0.774568,0.619838,117
56,0.0511774,0.794573,2.50101e-05,0.77471,0.619837,225,,6.11457e-06,0.774748,0.619837,189
57,0.438438,0.964939,0.774708,0.774744,1.23967,241,,0.774663,0.774665,1.23967,163
58,-0.167975,-0.787801,7.23612e-05,-0.774793,0.619838,209,,-0.000121867,-0.774713,0.619838,119
59,-0.286997,-0.7773,5.41598e-05,-0.774663,0.619837,209,,4.3183e-05,-0.774733,0.619837,131
60,-0.0674708,-0.0154299,2.91703e-05,3.88055e-05,7.50455e-08,209,,-1.01205e-07,-7.66572e-05,1.87117e-07,89
61,-0.110792,-0.107264,-5.02983e-05,-3.76999e-05,1.25816e-07,225,,-7.70856e-05,0.000116469,6.21155e-07,135
62,0.433438,0.787237,0.77463,0.774756,1.23967,241,,0.774608,0.774741,1.23967,153
63,-0.924609,0.230341,-0.774668,6.77398e-05,0.619837,289,,-0.774628,0.000115198,0.619838,125
64,-0.0214377,-0.320007,7.63517e-06,-8.55063e-05,2.34668e-07,209,,-1.00317e-05,-0.000169402,9.16988e-07,159
65,-0.0492583,0.18956,-3.9528e-05,6.81805e-05,1.97775e-07,241,,-4.50703e-05,-4.20696e-05,1.21039e-07,169
66,-0.178873,-0.420382,7.28084e-05,8.67887e-05,4.08646e-07,257,,-9.95201e-05,3.81286e-05,3.61668e-07,119
67,0.0189313,0.510947,-5.30306e-05,0.774795,0.619837,257,,3.45461e-05,0.774768,0.619837,147
68,-0.0972703,0.126618,-6.32813e-05,5.50818e-05,2.24124e-07,241,,2.16163e-05,7.52598e-05,1.95236e-07,105
69,0.171203,0.410847,-7.58285e-06,0.774714,0.619837,225,,5.75926e-06,0.774794,0.619837,163
70,0.6826,-0.221437,0.774709,4.70295e-05,0.619837,225,,0.774766,2.76919e-05,0.619837,185
71,-0.241689,0.756073,1.02233e-05,0.774705,0.619837,289,,-1.75595e-05,0.774709,0.619837,121
72,-0.84401,-0.967095,-0.774752,5.36152e-05,0.619837,249,,-0.774682,-1.91893e-05,0.619837,159
73,-0.843724,-0.311225,-0.774642,8.39135e-05,0.619838,257,,-0.774698,0.000143864,0.619838,79
74,-0.931823,0.715156,-0.774674,0.774746,1.23967,257,,-0.774783,0.774754,1.23967,131
75,-0.609526,-0.647322,-0.77476,-0.774763,1.23967,257,,-0.774757,-0.774705,1.23967,93
76,-0.359266,-0.597547,0.774699,-6.64308e-05,0.619837,265,,0.000118261,-7.22324e-07,4.45359e-07,169
77,0.046561,0.59909,-2.1059e-05,2.78055e-05,3.87405e-08,265,,2.03371e-05,0.774591,0.619838,115
78,-0.464131,-0.229743,-6.82535e-05,3.17903e-06,1.48662e-07,289,,2.63587e-05,1.24248e-05,2.70394e-08,145
79,-0.722705,0.669362,-0.774737,0.774655,1.23967,241,,-0.774762,0.774774,1.23967,155
80,-0.221053,-0.851357,7.98224e-05,-0.774716,0.619837,273,,3.8417e-05,-0.774797,0.619837,133
81,-0.592372,0.72993,1.12897e-05,0.774755,0.619837,265,,4.45878e-05,0.774757,0.619837,173
82,-0.771157,0.794661,-0.774673,0.774798,1.23967,209,,-0.774654,0.774682,1.23967,149
83,-0.483392,0.221008,6.69121e-06,5.11199e-05,8.46378e-08,289,,-7.75089e-05,-4.15014e-05,2.46143e-07,131
84,-0.728346,-0.122061,-0.774753,-6.89438e-05,0.619837,225,,-0.774725,1.76151e-05,0.619837,103
85,-0.586836,-0.395516,-7.84598e-05,-7.76243e-06,1.97939e-07,257,,3.63936e-05,1.86552e-05,5.32569e-08,137
86,0.0916508,0.183011,6.87535e-05,2.22562e-05,1.66294e-07,225,,0.000116427,-3.98412e-06,4.32141e-07,133
87,-0.632042,-0.307917,-0.774777,5.18691e-05,0.619837,241,,-0.774749,-7.8597e-05,0.619837,113
88,0.423254,-0.779755,0.774641,-0.774658,1.23967,193,,0.774756,-0.774674,1.23967,81
89,0.477847,-0.699452,0.774741,-0.774686,1.23967,257,,0.774797,-0.774741,1.23967,127
90,0.804358,-0.498067,0.774651,-7.82566e-05,0.619838,257,,0.77466,-7.2849e-05,0.619837,135
91,0.397318,-0.782398,0.774721,-0.774663,1.23967,241,,0.774668,-0.774773,1.23967,133
92,-0.814197,0.846818,-0.774646,0.774748,1.23967,225,,-0.774667,0.774628,1.23967,87
93,0.247345,-0.385307,0.774688,5.69058e-06,0.619837,209,,0.774607,3.85133e-05,0.619838,109
94,0.459896,0.534002,0.774721,0.774646,1.23967,257,,0.774798,0.774677,1.23967,113
95,0.0786322,0.640994,5.80235e-05,0.774763,0.619837,209,,-2.3538e-05,0.774709,0.619837,151
96,-0.313888,0.022352,5.75359e-05,2.7812e-05,1.30041e-07,209,,-4.05199e-05,-1.84986e-05,6.31776e-08,121
97,0.351518,0.884245,0.7748,0.774733,1.23967,241,,0.774663,0.77468,1.23967,109
98,0.893271,0.684364,0.774795,0.774716,1.23967,225,,0.774703,0.774675,1.23967,115
99,0.238086,-0.0358443,7.79662e-05,1.50357e-05,2.00761e-07,257,,1.28409e-05,1.65551e-06,5.3377e-09,117
100,0.284503,0.212416,0.774757,7.25411e-05,0.619837,257,,0.774758,0.000160876,0.619838,107
1,-0.143545,-0.259999,-4.05048e-05,-4.39294e-05,1.13691e-07,273,,2.09794e-07,0.000150773,7.2386e-07,209
2,0.596014,0.182008,-3.3834e-05,-0.774727,0.619837,305,,2.73627e-07,2.3378e-05,1.74054e-08,127
3,-0.320323,0.621625,5.04273e-05,2.00247e-05,9.37412e-08,321,,7.37695e-06,2.01174e-05,1.46198e-08,159
4,-0.00963078,-0.910957,-6.75421e-06,1.07138e-05,5.10771e-09,273,,-1.01142e-05,-2.49925e-05,2.3147e-08,125
5,0.769205,0.553071,3.20166e-05,1.07414e-05,3.63145e-08,289,,0.77474,-3.45494e-07,0.619837,163
6,0.366449,-0.107261,-1.2224e-05,-7.07159e-06,6.35045e-09,305,,-8.25564e-05,4.21209e-05,2.73519e-07,127
7,-0.554622,0.0189658,4.28321e-05,3.85582e-05,1.05759e-07,273,,-2.98301e-05,2.6638e-05,5.09295e-08,255
8,-0.936805,0.595902,4.01296e-05,-3.88546e-05,9.93508e-08,257,,1.11664e-05,6.32341e-05,1.31294e-07,159
9,-0.420028,0.525646,0.774741,0.774694,1.23967,321,,-3.62693e-05,-7.10675e-05,2.02711e-07,195
10,0.59398,0.287118,-3.63109e-05,1.15205e-06,4.20261e-08,289,,1.59592e-05,-9.65619e-06,1.10792e-08,203
11,-0.986619,-0.59463,-4.9541e-05,2.73208e-05,1.01919e-07,305,,3.93706e-06,-3.76763e-05,4.56942e-08,303
12,0.622379,0.30881,2.52774e-05,-1.3868e-05,2.64696e-08,273,,-2.14047e-05,-5.33781e-06,1.54962e-08,309
13,-0.114058,-0.324429,4.01955e-05,7.83393e-06,5.34013e-08,289,,7.20828e-05,6.98414e-05,3.20774e-07,185
14,-0.400377,-0.422592,0.774716,0.774744,1.23967,305,,-3.15088e-05,-1.41985e-05,3.80328e-08,205
15,-0.577685,-0.613591,-2.92686e-05,-6.11671e-06,2.84693e-08,289,,6.66284e-05,-8.95534e-05,3.96731e-07,229
16,0.521788,-0.010815,0.774685,-1.47382e-05,0.619837,289,,2.86584e-05,4.65982e-05,9.5295e-08,141
17,0.719551,-0.987837,-5.20196e-06,1.53646e-05,8.37878e-09,305,,-4.18901e-05,3.63538e-06,5.62976e-08,191
18,-0.481838,0.0553279,4.86808e-06,4.32511e-05,6.03211e-08,257,,9.62078e-07,-2.45668e-07,3.13951e-11,167
19,-0.235324,-0.58538,3.69983e-05,-2.52759e-05,6.39317e-08,305,,7.97987e-06,4.93398e-05,7.95456e-08,187
20,0.890736,-0.823877,-2.11967e-05,4.6416e-05,8.29098e-08,257,,-4.23615e-05,-1.0567e-05,6.06968e-08,219
21,-0.575184,-0.356037,1.15558e-05,0.774679,0.619837,305,,1.61846e-05,1.88026e-05,1.95984e-08,187
22,0.761938,-0.0484591,3.61208e-05,-1.82094e-05,5.21037e-08,289,,-4.00327e-05,-7.12711e-05,2.12778e-07,205
23,-0.966739,0.576895,4.71426e-05,-1.16523e-05,7.5091e-08,321,,4.90249e-05,6.43253e-06,7.78492e-08,167
