t,x1_sim,x2_sim,x1_exp,x2_exp
54.7,1.25406,2.08948,1.25406,2.08948
54.8,1.25344,2.08856,1.25344,2.08856
54.9,1.25281,2.08761,1.25281,2.08761
55,1.25215,2.08663,1.25215,2.08663
55.1,1.25149,2.08564,1.25149,2.08564
55.2,1.25083,2.08465,1.25083,2.08465
55.3,1.25017,2.08366,1.25017,2.08366
55.4,1.24952,2.08269,1.24952,2.08269
55.5,1.24889,2.08174,1.24889,2.08174
55.6,1.24828,2.08083,1.24828,2.08083
55.7,1.2477,2.07996,1.2477,2.07996
55.8,1.24716,2.07914,1.24716,2.07914
55.9,1.24665,2.07837,1.24665,2.07837
56,1.24619,2.07767,1.24619,2.07767
56.1,1.24577,2.07704,1.24577,2.07704
56.2,1.2454,2.07648,1.2454,2.07648
56.3,1.24509,2.07601,1.24509,2.07601
56.4,1.24482,2.07561,1.24482,2.07561
56.5,1.24462,2.0753,1.24462,2.0753
56.6,1.24447,2.07507,1.24447,2.07507
56.7,1.24438,2.07493,1.24438,2.07493
56.8,1.24435,2.07487,1.24435,2.07487
56.9,1.24438,2.0749,1.24438,2.0749
57,1.24445,2.07502,1.24445,2.07502
57.1,1.24459,2.07521,1.24459,2.07521
57.2,1.24477,2.07548,1.24477,2.07548
57.3,1.245,2.07582,1.245,2.07582
57.4,1.24528,2.07623,1.24528,2.07623
57.5,1.2456,2.0767,1.2456,2.0767
57.6,1.24595,2.07723,1.24595,2.07723
57.7,1.24634,2.07781,1.24634,2.07781
57.8,1.24676,2.07843,1.24676,2.07843
57.9,1.2472,2.07909,1.2472,2.07909
58,1.24766,2.07978,1.24766,2.07978
58.1,1.24814,2.08049,1.24814,2.08049
58.2,1.24862,2.08122,1.24862,2.08122
58.3,1.24911,2.08195,1.24911,2.08195
