Długość kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientów sprzężonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,Minimum globalne [TAK/NIE],x1*,x2*,y*,f_calls,g_calls,Minimum globalne [TAK/NIE],x1*,x2*,y*,f_calls,g_calls,H_calls,Minimum globalne [TAK/NIE]
,73,"0,393888","1,64373","-2,23E-04","5,38E-04","2,69E-07",95,95,TAK,"-2,76E-04","5,26E-04","2,84E-07",26,26,TAK,"6,68E-05","3,55E-04","1,59E-07",166,166,165,TAK
,74,"1,31874","-1,01639","1,75E+00","-8,74E-01","2,99E-01",43,43,NIE,"1,75E+00","-8,73E-01","2,99E-01",18,18,NIE,"1,07E+00","-5,36E-01","8,77E-01",145,145,144,NIE
,75,"1,97621","-0,644728","1,75E+00","-8,73E-01","2,99E-01",62,62,NIE,"1,75E+00","-8,73E-01","2,99E-01",20,20,NIE,"1,75E+00","-8,74E-01","2,99E-01",168,168,167,NIE
,76,"0,00355242","0,464935","-2,40E-04","5,80E-04","3,13E-07",80,80,TAK,"-2,64E-04","5,06E-04","2,62E-07",23,23,TAK,"3,32E-06","4,34E-04","1,90E-07",137,137,136,TAK
,77,"0,822122","-1,30749","2,39E-04","-5,77E-04","3,09E-07",100,100,TAK,"2,74E-04","-2,55E-04","1,45E-07",44,44,TAK,"1,07E+00","-5,36E-01","8,77E-01",148,148,147,NIE
,78,"-0,392479","1,83554","-2,32E-04","5,60E-04","2,92E-07",99,99,TAK,"-3,06E-04","3,42E-04","1,99E-07",27,27,TAK,"-9,08E-05","5,16E-04","2,36E-07",160,160,159,TAK
,79,"-0,156432","0,941083","-2,31E-04","5,57E-04","2,88E-07",90,90,TAK,"-2,21E-04","3,31E-04","1,34E-07",26,26,TAK,"-8,47E-05","5,25E-04","2,45E-07",147,147,146,TAK
,80,"1,33119","-0,990605","1,75E+00","-8,74E-01","2,99E-01",35,35,NIE,"1,75E+00","-8,73E-01","2,99E-01",18,18,NIE,"1,07E+00","-5,36E-01","8,77E-01",144,144,143,NIE
,81,"-0,110221","1,291","-2,40E-04","5,80E-04","3,13E-07",93,93,TAK,"-2,21E-04","2,75E-04","1,13E-07",27,27,TAK,"-4,03E-05","4,79E-04","2,13E-07",155,155,154,TAK
,82,"-0,173561","0,844744","-2,28E-04","5,51E-04","2,82E-07",89,89,TAK,"-2,87E-04","4,36E-04","2,30E-07",25,25,TAK,"-1,09E-04","5,49E-04","2,65E-07",144,144,143,TAK
,83,"-1,23989","1,5728","-1,75E+00","8,74E-01","2,99E-01",71,71,NIE,"-1,75E+00","8,74E-01","2,99E-01",23,23,NIE,"-1,07E+00","5,36E-01","8,77E-01",154,154,153,NIE
,84,"1,51522","-1,3848","1,75E+00","-8,74E-01","2,99E-01",70,70,NIE,"1,75E+00","-8,74E-01","2,99E-01",22,22,NIE,"1,75E+00","-8,74E-01","2,99E-01",152,152,151,NIE
,85,"0,984376","-0,41913","2,28E-04","-5,50E-04","2,81E-07",96,96,TAK,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",121,121,120,NIE
,86,"1,36587","1,62666","2,31E-04","-5,59E-04","2,90E-07",82,82,TAK,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",167,167,166,NIE
,87,"-1,6673","0,325186","-1,75E+00","8,73E-01","2,99E-01",71,71,NIE,"-1,75E+00","8,73E-01","2,99E-01",22,22,NIE,"-1,75E+00","8,73E-01","2,99E-01",137,137,136,NIE
,88,"1,54323","-1,09043","1,75E+00","-8,74E-01","2,99E-01",60,60,NIE,"1,75E+00","-8,74E-01","2,99E-01",20,20,NIE,"1,75E+00","-8,74E-01","2,99E-01",146,146,145,NIE
,89,"1,70319","-0,781249","1,75E+00","-8,73E-01","2,99E-01",54,54,NIE,"1,75E+00","-8,73E-01","2,99E-01",18,18,NIE,"1,75E+00","-8,74E-01","2,99E-01",119,119,118,NIE
,90,"1,67207","-1,60678","1,75E+00","-8,74E-01","2,99E-01",74,74,NIE,"1,75E+00","-8,74E-01","2,99E-01",23,23,NIE,"1,75E+00","-8,74E-01","2,99E-01",151,151,150,NIE
,91,"-1,98083","1,38577","-1,75E+00","8,74E-01","2,99E-01",70,70,NIE,"-1,75E+00","8,74E-01","2,99E-01",23,23,NIE,"-1,75E+00","8,74E-01","2,99E-01",166,166,165,NIE
,92,"-1,56231","-0,775873","-1,75E+00","8,73E-01","2,99E-01",83,83,NIE,"-1,75E+00","8,73E-01","2,99E-01",25,25,NIE,"-1,75E+00","8,73E-01","2,99E-01",158,158,157,NIE
,93,"-1,22587","-0,792299","-2,28E-04","5,50E-04","2,81E-07",92,92,TAK,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,35E-01","8,77E-01",157,157,156,NIE
,94,"0,549797","-1,47943","2,22E-04","-5,37E-04","2,68E-07",98,98,TAK,"2,20E-04","-3,17E-04","1,28E-07",27,27,TAK,"4,80E-05","-4,94E-04","2,25E-07",154,154,153,TAK
,95,"-1,69237","0,228097","-1,75E+00","8,73E-01","2,99E-01",73,73,NIE,"-1,75E+00","8,73E-01","2,99E-01",22,22,NIE,"-1,75E+00","8,73E-01","2,99E-01",140,140,139,NIE
,96,"1,17818","-1,79054","1,75E+00","-8,74E-01","2,99E-01",74,74,NIE,"1,75E+00","-8,74E-01","2,99E-01",23,23,NIE,"1,07E+00","-5,36E-01","8,77E-01",157,157,156,NIE
,97,"-1,61682","1,19253","-1,75E+00","8,74E-01","2,99E-01",65,65,NIE,"-1,75E+00","8,74E-01","2,99E-01",21,21,NIE,"-1,75E+00","8,74E-01","2,99E-01",145,145,144,NIE
,98,"-1,35111","1,58563","-1,75E+00","8,74E-01","2,99E-01",72,72,NIE,"-1,75E+00","8,74E-01","2,99E-01",23,23,NIE,"-1,07E+00","5,36E-01","8,77E-01",156,156,155,NIE
,99,"1,94997","-1,85217","1,75E+00","-8,74E-01","2,99E-01",77,77,NIE,"1,75E+00","-8,74E-01","2,99E-01",24,24,NIE,"1,75E+00","-8,74E-01","2,99E-01",161,161,160,NIE
,100,"-0,519639","-0,579532","2,25E-04","-5,42E-04","2,73E-07",77,77,TAK,"6,07E-06","-3,08E-04","9,28E-08",24,24,TAK,"-1,22E-04","-2,51E-04","1,23E-07",155,155,154,TAK
"0,25",1,"-0,583316","-0,26823","-1,47E-04","3,54E-04","1,16E-07",12,12,TAK,"-1,70E-04","1,44E-04","5,40E-08",9,9,TAK,"-1,75E+00","8,74E-01","2,99E-01",35,35,34,NIE
,2,"1,51591","0,659064","1,83E+00","-8,02E-01","3,59E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,74E-01","2,99E-01",31,31,30,NIE
,3,"-1,16589","1,84499","-2,31E-04","5,57E-04","2,89E-07",20,20,TAK,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,36E-01","8,77E-01",29,29,28,NIE
,4,"0,475442","-1,83241","1,67E-04","-4,02E-04","1,50E-07",18,18,TAK,"5,43E-05","-2,15E-04","4,03E-08",10,10,TAK,"4,13E-05","-4,00E-04","1,47E-07",30,30,29,TAK
,5,"-0,747127","0,509151","-2,28E-04","5,51E-04","2,82E-07",16,16,TAK,"-1,39E-04","1,96E-04","4,99E-08",16,16,TAK,"-1,07E+00","5,35E-01","8,77E-01",25,25,24,NIE
,6,"-1,40741","1,85124","-2,04E-04","4,92E-04","2,25E-07",19,19,TAK,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,36E-01","8,77E-01",29,29,28,NIE
,7,"-0,291898","1,74126","-2,29E-04","5,53E-04","2,85E-07",17,17,TAK,"1,63E-04","-1,40E-04","5,00E-08",10,10,TAK,"-5,85E-05","4,09E-04","1,50E-07",30,30,29,TAK
,8,"0,731789","-1,87915","1,93E-04","-4,66E-04","2,01E-07",19,19,TAK,"-3,91E-05","2,15E-04","4,09E-08",14,14,TAK,"1,07E+00","-5,36E-01","8,77E-01",29,29,28,NIE
